ra,dec,barycentric_distance,pmra,pmdec,mag_g,mean_absolute_v
1.1216176241428506,6.72774018027683,1207.7977,7.3105683,1.1382259,15.860588,5.45
5.130601436094521,4.88352552619346,7748.39,4.674923,-1.9208499,19.60947,5.2
5.13060146810549,4.883525537451613,7748.39,4.674923,-1.9208499,19.58087,5.181294
2.7984311129852295,0.8266027733400773,832.6182,-1.9971044,-5.7282686,15.310334,5.8
8.919454371970506,3.740413597153581,7505.5005,5.383959,-8.031448,19.705425,5.4
6.9410773899777585,2.8799583972968144,5171.7373,-0.38656017,-5.8423314,19.438017,5.995686
5.097215995973496,8.645298719575988,1213.4088,0.5836811,-2.3301077,15.9350195,5.55
2.702566197729253,4.8889665295688705,7837.874,-3.203529,-1.473356,19.843592,5.4
2.7025658616307573,4.888965549927329,7837.874,-3.203529,-1.4733561,19.782684,5.353611
6.234629890921339,4.127031742847448,4776.572,11.723002,-8.524926,18.903564,5.6
3.2180228324605835,0.6082758438842825,1408.2596,14.363583,-25.716276,16.247326,5.6749415
7.7239122946775955,8.854613531489331,4938.5903,5.8589544,-8.446755,18.707874,5.2
8.668880499206201,6.847279527601118,1483.7072,22.970158,-5.4524374,16.207079,5.4
4.452914753194738,1.87084813944797,5765.4795,6.974386,-6.610294,18.93616,5.2
4.452914123111934,1.8708480715393816,5765.4795,6.974386,-6.610294,18.93162,5.197933
0.5484745019247907,5.219020712594297,5704.3374,2.8155527,-2.1378858,19.35984,5.6
0.5234582725329712,5.2349936177113285,4139.3286,3.4975903,-6.046509,18.680502,5.6
2.147936417900306,4.730901391348325,4883.8823,-1.5375295,-10.678938,19.0034,5.6
6.683492310948954,4.869377499685747,7802.3745,1.0359724,-4.160969,19.816343,5.4
6.6834923175684855,4.8693773145655275,7802.3745,1.0359724,-4.160969,19.796497,5.3870244
2.330982035370477,4.080017996160064,6828.4736,5.829124,-3.364221,19.70733,5.6
5.1487723782909125,8.801015115744718,6153.6685,3.5029008,-9.342629,19.786022,5.8
