source_id,barycentric_distance,parallax,parallax_error
1829955014999670786,1473.7898,0.699602,0.09525447
1830352419867852801,963.4362,0.99541557,0.19592947
1830440526692745217,863.8942,1.2760811,0.18973659
1830440530987712513,2087.6482,0.40791735,0.052538693
1829952420839424001,753.82007,1.2953932,0.05229008
1829952420839424002,1104.6547,1.1502671,0.3619529
1829952429429358593,2882.0862,0.08412193,1.3267438
1830440556757516290,3875.278,0.059142385,0.44590402
1830440565481668609,5497.343,-1.1589537,0.7215596
1830440565615886337,5497.343,0.23976013,0.7215596
1830440565750104065,5497.342,0.66624063,0.8322375
1830300583907557377,9186.362,-0.5522559,2.5133357
1830300584041775105,9186.362,-0.28104743,3.4849463
1830439169617297409,1135.2283,0.93770736,0.35125908
1830439169751515137,1135.2284,2.4474766,2.765315
1830352196529553409,3052.5872,-0.13322248,0.32560888
1829946008453251073,1465.6505,0.86152965,0.12634318
1829945424471916545,2743.6716,0.14366414,0.30806968
1829946030062305281,10315.571,1.9326147,1.6903354
1829947842404286465,1625.0369,-0.41791496,1.3754511
1829947842404286466,5702.9937,0.79294705,0.51633644
1830300592497491969,1906.4688,-0.8538017,1.2635624
1830300592631709697,1906.4688,1.0830544,1.2635624
1830300596658241537,398.72662,1.425593,0.90181196
1830300326209519617,292.5813,3.316064,0.052064665
1830300326343737345,292.58182,3.3980849,0.052177258
1829946042812989441,549.43555,1.7560565,0.074679
1830437593364299777,1735.3533,0.3128719,6.5845003
1830437588935114753,430.5083,2.7051718,3.6498773
1830437588935114754,3208.5803,1.1424041,0.8306664
1829946051402924033,425.35736,1.0639149,0.63828593
1829946055697891329,594.845,1.6548176,0.131569
1829947850994221057,664.1106,1.6394187,0.38246405
1830300339094421505,1865.7101,0.041492146,0.5507833
1830437567460278273,8296.236,0.029559892,0.9869653
1829946180386160641,13576.454,-3.144809,1.2287409
1830439152303210497,403.94186,2.431617,0.071712494
1830439152303210498,767.2136,1.5099564,2.4783237
1830300309029650433,2175.3452,0.49561757,0.07850764
1830300571022655490,5487.165,0.39555496,0.67468244
1830300571156873217,726.9516,1.2582594,0.12665606
1830300579612590081,6965.804,-2.3589492,4.645109
1829952596933083137,2396.8362,1.0485638,0.5037069
1830352595827294210,1521.7,0.58417064,0.06858095
1830352596095729665,771.62177,-0.82817686,2.4454467
1830352596229947393,771.61816,1.2265373,0.052169085
1830300317619585025,551.3684,2.3070261,0.41915914
1830300545252851713,2433.0557,-0.14109726,0.4969127
1830300553708568577,1241.1492,0.8070069,0.10923156
1830300553708568578,2644.7812,0.61517626,0.16423
1830300553708568579,5661.079,-0.2666967,0.21932077
1830300558137753601,752.86566,1.2819417,0.059092302
1830300558271971329,752.86554,2.2494838,1.309102
1829952562573344769,689.16254,1.7266392,0.18124203
1829952566868312065,293.92856,3.5225546,0.16662511
1829952567002529794,7804.615,0.026807262,0.40723908
1829952567002529795,1789.526,0.4812817,0.074338466
1830438873130336257,13198.646,0.3078938,1.2214342
1830439143713275905,1917.5205,0.6130865,0.13137075
1830300893010984961,626.57324,0.69061315,1.2196232
1830300893010984962,5876.1504,0.72820115,1.2220769
1830300521764749314,1286.8256,1.1054198,1.0753726
1829952579753213954,3424.7236,0.7910662,0.46582752
1830352578781642753,631.9995,1.8108388,0.21268949
1830352578915860481,631.9996,1.4190565,1.3791366
1830437073539039233,211.42502,4.865913,0.14859399
1830437073539039234,696.22614,1.4427158,0.41364673
1830437077834006529,761.37665,1.2624125,0.060077555
1830437077968224259,3068.5999,0.17489141,0.1208081
1830437077968224260,3684.3728,0.2934443,0.15149121
1830437078102441986,830.8365,1.3336455,0.20117746
1830437078102441988,3684.35,0.49441352,0.17125346
1829947872469057537,7491.2544,-1.8766787E-4,1.3094984
1830437064949104641,2047.3289,0.9709849,0.5120089
1830300536662917121,1808.9333,-0.2948728,2.527036
1829952541232726017,839.5294,0.9493059,0.19982244
1829952541366943745,839.52936,1.6859756,0.53329957
1829952545393475585,2525.6416,1.2003031,1.6554866
1829952545393475587,1883.5359,0.26120454,0.5620805
1829952549822660609,1913.305,0.4871075,0.06443768
1829952549956878337,1913.3053,-0.045235503,0.6971635
1830352540126937089,7731.8535,-2.6597662,1.5689389
1830352544287686657,331.36212,1.8934171,1.1800067
1830352548582653953,612.98376,1.6964611,0.07909175
1830351234456879105,174.13356,5.804443,0.053198334
1830351234591096833,174.13615,5.5376487,0.10673803
1830300510758895617,596.10974,1.6047082,0.05325231
1830300515053862913,6458.374,-0.11010853,0.20670052
1830300519483047938,1286.8256,0.7410608,0.07237246
1829952558278377473,924.67,1.1623743,0.7055227
1830352550864355330,1124.9192,3.6559505,1.4769493
1830352553011838977,837.208,1.9722228,0.7230658
1830352553146056705,837.1731,1.8560548,0.8551429
1830300502168961025,1058.924,0.77251166,0.86577654
1830352527242035201,1262.5986,0.9158544,0.22221044
1830352527376252929,1262.5986,0.40270472,0.60754806
1830352531402784769,2720.8645,0.3577363,0.30741972
1830352531537002498,3325.6091,-0.24916339,0.93846446
1829947894078111746,1963.7164,-0.5248848,1.5534242
1829947898507296769,625.7943,1.4045845,0.449363
1830349048184307713,1302.1548,-0.7841846,1.5175947
1830300871536148481,615.8593,1.3919663,0.17394032
1830449056632012801,263.1742,3.7334275,0.05212582
1830449056632012802,2099.4695,0.5139344,0.11209113
1830449056766230529,263.17358,3.921102,0.48582748
1830349065364176897,2165.3599,0.056875173,0.7554671
1830449069382696961,91.87925,10.832518,0.051479008
1830349078383296513,563.44653,1.7708892,0.053402703
1830349078383296514,988.9568,1.0280664,0.060216557
1830349078517514241,563.44653,1.7394717,0.05406104
1829952506738769921,10682.796,0.43694633,0.59324235
1829952506738769924,2110.3276,0.4794008,0.08863834
1830352505632980995,11697.198,1.3985747,0.8764963
1830349082678263809,858.6334,0.68654484,0.4062675
1830449086696783874,1028.6383,0.69527435,0.15977839
1830449086831001602,1028.616,0.69278216,2.8164992
1830352514357133313,15040.7705,-0.28223032,0.2892845
1830449095152500737,1631.8341,0.59331566,0.07271438
1829945514532012033,13791.782,7.380998,4.4959483
1830446101560295426,1819.3436,2.116607,0.9083957
1830446101694513153,804.57306,1.3831614,0.059524514
1830446101828730881,804.57306,1.1081002,0.6884032
1830449017843089409,2521.7366,0.14861475,0.717059
1829947915418730497,685.59863,1.5628866,0.19004333
1829947919713697793,1498.8209,0.5977231,0.6851756
1830439225317654529,2792.882,-7.210762,4.0662127
1830449022138056706,643.9787,1.4802009,0.19486459
1830351887157690369,393.5768,2.5488493,0.05366547
1830438851655499777,903.8909,0.95395535,0.2301537
1829945523256164353,1075.6803,1.0005019,0.10083577
1829945523390382081,1075.6803,1.9197326,1.2817116
1829945523524599809,1075.6803,0.8599196,0.10083577
